,TourBERT,Fine-tuned BERT
0,1,1
1,1,5
2,2,5
3,1,5
4,1,2
5,1,1
6,6,1
7,1,3
8,1,5
9,1,1
10,1,3
11,1,5
12,1,1
13,1,5
14,1,5
15,1,5
16,1,1
17,1,1
18,1,1
19,1,2
20,1,5
21,1,5
22,1,1
23,1,3
24,1,1
25,1,5
26,1,1
27,1,1
28,1,1
29,6,1
30,1,5
31,1,1
32,1,1
33,1,5
34,1,5
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,5
41,1,1
42,1,1
43,1,5
44,1,3
45,1,3
46,1,1
47,1,5
48,1,5
49,1,1
50,1,1
51,1,1
52,1,1
53,1,5
54,1,1
55,1,1
56,1,5
57,1,5
58,1,1
59,1,1
60,1,5
61,1,1
62,1,1
63,4,5
64,3,3
65,1,1
66,1,5
67,1,1
68,1,5
69,1,5
70,1,1
71,1,5
72,1,1
73,1,1
74,6,5
75,1,1
76,4,1
77,1,1
78,2,1
79,1,5
80,1,5
81,1,1
82,1,1
83,1,1
84,1,1
85,4,1
86,4,1
87,1,1
88,4,1
89,4,2
90,4,3
91,4,1
92,4,1
93,1,2
94,4,1
95,4,1
96,1,2
97,6,1
98,4,2
99,4,3
100,1,2
101,1,2
102,4,1
103,1,1
104,1,1
105,1,3
106,1,1
107,4,2
108,1,1
109,1,1
110,6,1
111,1,2
112,1,1
113,1,1
114,4,1
115,6,2
116,1,1
117,1,1
118,4,1
119,1,2
120,4,3
121,4,3
122,4,2
123,1,1
124,1,2
125,1,2
126,1,4
127,1,2
128,1,1
129,4,3
130,1,1
131,1,1
132,4,2
133,1,3
134,1,1
135,1,1
136,1,1
137,1,2
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,2
144,1,1
145,1,4
146,1,1
147,1,1
148,1,1
149,1,3
150,1,1
151,1,1
152,1,1
153,1,2
154,1,2
155,1,1
156,1,1
157,1,2
158,1,1
159,1,1
160,1,1
161,1,3
162,1,1
163,1,4
164,1,1
165,1,5
166,1,5
167,1,5
168,1,5
169,1,5
170,1,1
171,1,5
172,1,5
173,2,1
174,1,1
175,1,1
176,2,5
177,1,1
178,1,1
179,1,2
180,1,1
181,1,1
182,1,1
183,1,5
184,4,1
185,2,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,2,1
192,1,2
193,1,1
194,1,1
195,1,1
196,1,1
197,1,6
198,2,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,2
204,1,2
205,1,1
206,1,2
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,4,3
215,4,1
216,1,1
217,1,3
218,1,5
219,1,5
220,1,1
221,1,5
222,1,1
223,1,5
224,1,5
225,1,5
226,1,5
227,1,1
228,2,1
229,1,1
230,1,1
231,1,5
232,4,5
233,1,5
234,4,1
235,1,1
236,1,1
237,1,1
238,2,1
239,1,1
240,1,1
241,4,1
242,1,1
243,1,1
244,1,6
245,1,1
246,1,1
247,1,1
248,4,1
249,4,1
250,1,1
251,1,1
252,1,1
253,1,5
254,1,1
255,1,1
256,4,1
257,2,1
258,1,1
259,4,1
260,1,1
261,4,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,5
267,6,5
268,6,1
269,1,1
270,2,1
271,1,1
272,3,1
273,1,1
274,1,1
275,3,1
276,3,1
277,1,1
278,1,1
279,1,1
280,1,5
281,1,1
282,1,1
283,1,1
284,4,6
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,3,1
291,1,1
292,1,1
293,1,1
294,3,1
295,3,1
296,1,1
297,3,1
298,3,1
299,1,1
300,1,1
301,4,1
302,3,1
303,3,1
304,3,1
305,3,1
306,3,1
307,3,1
308,4,1
309,3,1
310,3,1
311,3,1
312,3,1
313,3,1
314,3,1
315,3,1
316,1,1
317,1,1
318,1,1
319,1,1
320,4,1
321,4,1
322,1,1
323,1,1
324,3,1
325,1,1
326,4,1
327,4,5
328,4,1
329,4,4
330,5,4
331,3,4
332,6,4
333,6,4
334,3,2
335,3,4
336,3,2
337,2,1
338,3,2
339,2,2
340,2,2
341,3,1
342,3,1
343,3,4
344,2,2
345,2,2
346,3,1
347,1,1
348,5,4
349,1,1
350,1,5
351,1,2
352,2,1
353,5,5
354,1,1
355,5,1
356,1,1
357,1,1
358,1,1
359,2,1
360,1,1
361,1,1
362,2,1
363,1,1
364,1,1
365,1,5
366,1,1
367,3,1
368,4,4
369,1,1
370,1,1
371,1,1
372,1,2
373,1,3
